,subject_id,Group,frequency_band,measure,1H,24H,Day7
1,RS_004_deltas,0,Alpha,O,0.076586436,-0.02467763,-0.05072631
2,RS_004_deltas,0,Alpha,S,-0.184579002,-1.440885193,-0.178364754
3,RS_004_deltas,0,Beta,O,0.041705516,0.134319117,0.336703403
4,RS_004_deltas,0,Beta,S,0.061907586,-0.865072418,0.370815217
5,RS_004_deltas,0,Gamma,O,0.145203174,-0.456832906,0.038221878
6,RS_004_deltas,0,Gamma,S,0.02415567,-0.509254592,-1.624330994
7,RS_004_deltas,0,Theta,O,0.157797007,-0.293408964,0.282915198
8,RS_004_deltas,0,Theta,S,0.034072809,-1.32907934,-0.190106865
9,RS_006_deltas,1,Alpha,O,0.130845761,0.103856747,0.061429311
10,RS_006_deltas,1,Alpha,S,-0.417924547,0.344420638,0.939101247
11,RS_006_deltas,1,Beta,O,-0.001016274,-0.31241215,0.315561407
12,RS_006_deltas,1,Beta,S,0.556443381,0.194550221,0.155559246
13,RS_006_deltas,1,Gamma,O,0.188251048,-0.202160747,-0.110316985
14,RS_006_deltas,1,Gamma,S,0.782147172,-2.798851422,-0.247515532
15,RS_006_deltas,1,Theta,O,0.386259797,0.247010895,-0.127140014
16,RS_006_deltas,1,Theta,S,0.328070588,-0.517860129,0.27064633
17,RS_009_deltas,1,Alpha,O,1.066593002,0.298728927,0.0186038
18,RS_009_deltas,1,Alpha,S,0.088774387,1.122156936,0.320657532
19,RS_009_deltas,1,Beta,O,0.717059321,0.487946566,-0.190667424
20,RS_009_deltas,1,Beta,S,0.046086073,0.178601087,0.717714314
21,RS_009_deltas,1,Gamma,O,0.320936833,0.16563999,-0.040129402
22,RS_009_deltas,1,Gamma,S,-1.144710743,1.370859904,-0.619180199
23,RS_009_deltas,1,Theta,O,0.41299747,0.098735864,0.320579029
24,RS_009_deltas,1,Theta,S,0.287912492,1.738383783,0.353116999
25,RS_010_deltas,0,Alpha,O,0.058075017,-0.163176385,-0.050717763
26,RS_010_deltas,0,Alpha,S,-0.223547712,1.240621559,-0.106484453
27,RS_010_deltas,0,Beta,O,-0.113412751,0.076177873,-0.214872594
28,RS_010_deltas,0,Beta,S,0.711667464,0.753576419,-0.859187314
29,RS_010_deltas,0,Gamma,O,-0.237262029,-0.016693446,-0.419072709
30,RS_010_deltas,0,Gamma,S,0.334778111,0.76922229,-0.77626807
31,RS_010_deltas,0,Theta,O,-0.406234122,-0.28393345,-0.237259907
32,RS_010_deltas,0,Theta,S,1.121019309,0.656350919,-0.3878013
33,RS_011_deltas,1,Alpha,O,0.462417667,0.031723029,0.439816503
34,RS_011_deltas,1,Alpha,S,0.627460132,-0.11246424,-0.189679843
35,RS_011_deltas,1,Beta,O,0.580259919,-0.005249672,0.303163502
36,RS_011_deltas,1,Beta,S,-0.093934839,-0.132676427,0.286565571
37,RS_011_deltas,1,Gamma,O,0.322123085,-0.017777162,-0.186279992
38,RS_011_deltas,1,Gamma,S,0.157544416,0.12471908,1.731772948
39,RS_011_deltas,1,Theta,O,0.450145568,0.056443742,-0.471682483
40,RS_011_deltas,1,Theta,S,-0.450355586,-0.207840323,0.056857906
41,RS_012_deltas,1,Alpha,O,0.526544572,0.072454094,0.503091883
42,RS_012_deltas,1,Alpha,S,-0.596853977,0.887164902,1.384904697
43,RS_012_deltas,1,Beta,O,1.309066593,0.537368821,0.427946808
44,RS_012_deltas,1,Beta,S,1.687818812,1.765115649,1.71008668
45,RS_012_deltas,1,Gamma,O,1.00376986,0.270033856,0.503096678
46,RS_012_deltas,1,Gamma,S,2.255771472,1.756048293,0.205745231
47,RS_012_deltas,1,Theta,O,0.993612797,0.605836731,0.033066395
48,RS_012_deltas,1,Theta,S,2.066846404,2.967583852,0.445922014
49,RS_016_deltas,0,Alpha,O,-0.0524395,0.031723029,0.056021606
50,RS_016_deltas,0,Alpha,S,-0.264028081,-0.11246424,0.300963121
51,RS_016_deltas,0,Beta,O,-0.296253502,-0.005249672,0.093395959
52,RS_016_deltas,0,Beta,S,-0.838735666,-0.132676427,-0.048863161
53,RS_016_deltas,0,Gamma,O,-0.168699133,-0.017777162,0.096291615
54,RS_016_deltas,0,Gamma,S,-0.888629488,0.12471908,-0.325298889
55,RS_016_deltas,0,Theta,O,-0.155806128,0.056443742,0.0749221
56,RS_016_deltas,0,Theta,S,-0.703226164,-0.207840323,0.226173787
57,RS_017_deltas,0,Alpha,O,-0.32189148,-0.48119394,0.056021606
58,RS_017_deltas,0,Alpha,S,-1.095983582,-2.80189111,0.300963121
59,RS_017_deltas,0,Beta,O,-1.03995623,-0.775122181,0.093395959
60,RS_017_deltas,0,Beta,S,-1.164269453,-2.673672678,-0.048863161
61,RS_017_deltas,0,Gamma,O,-0.366325101,-1.303929305,0.096291615
62,RS_017_deltas,0,Gamma,S,-1.706853031,0.027955881,-0.325298889
63,RS_017_deltas,0,Theta,O,0.157587639,0.278601798,0.0749221
64,RS_017_deltas,0,Theta,S,-1.998019183,-3.543712671,0.226173787
65,RS_018_deltas,1,Alpha,O,1.285002268,0.048767889,0.010423797
66,RS_018_deltas,1,Alpha,S,1.362122324,-0.15263021,-0.788179257
67,RS_018_deltas,1,Beta,O,1.306472845,-0.004248154,-0.069509743
68,RS_018_deltas,1,Beta,S,2.199206819,-0.277184549,-1.873280752
69,RS_018_deltas,1,Gamma,O,0.594518317,-0.017082,0.003529242
70,RS_018_deltas,1,Gamma,S,1.391691729,0.152031867,0.763799297
71,RS_018_deltas,1,Theta,O,1.06320467,0.017717688,0.088335526
72,RS_018_deltas,1,Theta,S,4.193247882,2.106670603,-0.276141962
73,RS_019_deltas,0,Alpha,O,-0.423080285,0.253866578,0.281083491
74,RS_019_deltas,0,Alpha,S,-0.801026827,-0.465719332,0.063081656
75,RS_019_deltas,0,Beta,O,-0.694899635,-0.75068173,0.026800133
76,RS_019_deltas,0,Beta,S,-0.766668251,-0.016121538,-0.772955936
77,RS_019_deltas,0,Gamma,O,-0.269795526,-0.079112938,0.303151451
78,RS_019_deltas,0,Gamma,S,-0.601008613,-2.202496411,-1.707407248
79,RS_019_deltas,0,Theta,O,-0.22404654,0.023148218,-0.789887442
80,RS_019_deltas,0,Theta,S,-1.424298365,-0.534930669,0.430098505
81,RS_020_deltas,1,Alpha,O,0.366349445,0.300539466,-0.073388346
82,RS_020_deltas,1,Alpha,S,0.570213119,0.350115583,0.026489619
83,RS_020_deltas,1,Beta,O,0.736799822,-0.033728105,0.308412117
84,RS_020_deltas,1,Beta,S,3.658991376,0.065676735,-0.604178807
85,RS_020_deltas,1,Gamma,O,0.467353236,-0.039378771,0.087235965
86,RS_020_deltas,1,Gamma,S,2.466437237,0.601291465,-1.435894498
87,RS_020_deltas,1,Theta,O,0.800191094,0.288011026,0.099899411
88,RS_020_deltas,1,Theta,S,3.841759455,0.238628579,0.022100036
89,RS_021_deltas,1,Alpha,O,0.662113764,0.262682848,0.021441091
90,RS_021_deltas,1,Alpha,S,-0.246654625,0.514783569,0.281131648
91,RS_021_deltas,1,Beta,O,0.785898964,-0.01499637,0.090454185
92,RS_021_deltas,1,Beta,S,1.197520792,0.36781917,-0.122829415
93,RS_021_deltas,1,Gamma,O,0.704222432,-0.005651659,0.345757429
94,RS_021_deltas,1,Gamma,S,1.259616927,1.140996237,0.429886173
95,RS_021_deltas,1,Theta,O,0.387873766,-0.059724615,0.295835337
96,RS_021_deltas,1,Theta,S,1.074266647,0.699504024,0.305504593
97,RS_024_deltas,0,Alpha,O,-0.820769573,0.031723029,-0.160914044
98,RS_024_deltas,0,Alpha,S,-0.302851338,-0.11246424,-0.098151188
99,RS_024_deltas,0,Beta,O,-0.100887839,-0.005249672,-0.505896861
100,RS_024_deltas,0,Beta,S,0.165459206,-0.132676427,-0.608860621
101,RS_024_deltas,0,Gamma,O,-0.23948161,-0.017777162,-0.498879161
102,RS_024_deltas,0,Gamma,S,0.702662953,0.12471908,-0.464401622
103,RS_024_deltas,0,Theta,O,-1.002819044,0.056443742,-0.254047227
104,RS_024_deltas,0,Theta,S,-0.433228908,-0.207840323,-1.018747992
105,RS_025_deltas,0,Alpha,O,-1.383536324,-0.172030023,-0.130391842
106,RS_025_deltas,0,Alpha,S,-1.284107464,0.443424985,0.859830106
107,RS_025_deltas,0,Beta,O,-0.892435035,-0.000488683,-0.488051002
108,RS_025_deltas,0,Beta,S,-3.434287473,0.208824578,-1.090370093
109,RS_025_deltas,0,Gamma,O,-0.748845882,0.332327567,-0.80323173
110,RS_025_deltas,0,Gamma,S,-4.183815316,0.631083481,-1.503328993
111,RS_025_deltas,0,Theta,O,-0.087524773,-0.194084332,0.113497381
112,RS_025_deltas,0,Theta,S,-2.693292536,1.475064011,0.348832932
113,RS_028_deltas,0,Alpha,O,-1.296138777,-0.890501751,0.098567391
114,RS_028_deltas,0,Alpha,S,-2.039151848,-2.166393756,-0.164334663
115,RS_028_deltas,0,Beta,O,-0.368859349,-0.117652237,-0.918451657
116,RS_028_deltas,0,Beta,S,-2.449272259,-1.754725048,-0.78120397
117,RS_028_deltas,0,Gamma,O,-0.11708067,-0.141939124,-0.407060353
118,RS_028_deltas,0,Gamma,S,-3.029817052,-0.55008562,-1.877052052
119,RS_028_deltas,0,Theta,O,0.149282742,-0.54815311,-1.123971383
120,RS_028_deltas,0,Theta,S,-3.582835255,-2.783814883,-0.120991074
121,RS_029_deltas,0,Alpha,O,-1.18037429,-0.182535408,-0.333011472
122,RS_029_deltas,0,Alpha,S,-0.930242321,-1.563292533,-1.224538041
123,RS_029_deltas,0,Beta,O,-0.348671108,-0.126120836,-0.549181169
124,RS_029_deltas,0,Beta,S,-1.146111211,-1.162402359,-1.77324445
125,RS_029_deltas,0,Gamma,O,-0.378226294,0.175812749,-0.531196163
126,RS_029_deltas,0,Gamma,S,-1.277012232,-1.873050989,-0.575795934
127,RS_029_deltas,0,Theta,O,-0.334653043,-0.098254951,-0.28057985
128,RS_029_deltas,0,Theta,S,-1.968596131,-1.776167294,-0.951264809
129,RS_030_deltas,1,Alpha,O,0.921569343,0.190225864,0.248910707
130,RS_030_deltas,1,Alpha,S,0.100860223,-0.279573698,0.794950302
131,RS_030_deltas,1,Beta,O,-0.139007756,-0.334544728,1.078458122
132,RS_030_deltas,1,Beta,S,0.983753539,-0.411111784,1.990981751
133,RS_030_deltas,1,Gamma,O,0.992864577,0.04191335,0.958558759
134,RS_030_deltas,1,Gamma,S,0.711747791,-2.268751795,-0.180306756
135,RS_030_deltas,1,Theta,O,0.442918622,-0.313430762,0.615532172
136,RS_030_deltas,1,Theta,S,1.331171381,-1.172889085,0.537375603
137,RS_032_deltas,1,Alpha,O,0.595568908,1.031178035,0.310849239
138,RS_032_deltas,1,Alpha,S,-0.497025032,-0.079435871,-0.168710848
139,RS_032_deltas,1,Beta,O,0.158624445,0.615647549,-0.520541162
140,RS_032_deltas,1,Beta,S,0.208602076,-0.188688564,0.631648515
141,RS_032_deltas,1,Gamma,O,0.607587466,-0.112357423,0.584920586
142,RS_032_deltas,1,Gamma,S,0.883479506,-0.730484838,-0.009977738
143,RS_032_deltas,1,Theta,O,0.262956959,0.865016411,0.7975113
144,RS_032_deltas,1,Theta,S,-1.040116629,-1.38350836,-0.29324607
145,RS_033_deltas,1,Alpha,O,0.30744609,-0.039136845,0.033038473
146,RS_033_deltas,1,Alpha,S,0.966168089,-0.272002889,3.522797788
147,RS_033_deltas,1,Beta,O,0.216977868,0.435954632,0.719706769
148,RS_033_deltas,1,Beta,S,0.181130261,-0.194201193,0.858134314
149,RS_033_deltas,1,Gamma,O,0.42039363,0.461871097,0.686835217
150,RS_033_deltas,1,Gamma,S,0.124262716,2.82177107,1.453514595
151,RS_033_deltas,1,Theta,O,0.126562504,0.531989055,-0.060294547
152,RS_033_deltas,1,Theta,S,-0.125189624,-0.595747236,2.79894535
153,RS_034_deltas,1,Alpha,O,0.460239043,0.097846732,0.379025719
154,RS_034_deltas,1,Alpha,S,0.329063058,0.525976457,-0.248224007
155,RS_034_deltas,1,Beta,O,0.131695389,-0.003694761,0.400121023
156,RS_034_deltas,1,Beta,S,-0.381387744,0.300925272,-0.923752537
157,RS_034_deltas,1,Gamma,O,-0.104368276,0.146721831,0.095510681
158,RS_034_deltas,1,Gamma,S,-0.234060167,-0.407652788,-1.009921519
159,RS_034_deltas,1,Theta,O,0.220747943,0.131858339,0.658144393
160,RS_034_deltas,1,Theta,S,-0.3045798,-0.021447691,0.047609555
161,RS_035_deltas,1,Alpha,O,0.374367332,-0.10412849,0.056021606
162,RS_035_deltas,1,Alpha,S,-0.112834105,0.426128754,0.300963121
163,RS_035_deltas,1,Beta,O,-0.269827358,-0.021188929,0.093395959
164,RS_035_deltas,1,Beta,S,-0.671626394,-0.020999161,-0.048863161
165,RS_035_deltas,1,Gamma,O,-0.274424341,0.08603061,0.096291615
166,RS_035_deltas,1,Gamma,S,-1.143194602,0.070502552,-0.325298889
167,RS_035_deltas,1,Theta,O,0.241544105,0.227240115,0.0749221
168,RS_035_deltas,1,Theta,S,-0.357518792,0.106809254,0.226173787
169,RS_036_deltas,0,Alpha,O,0.076586436,0.044632167,0.056021606
170,RS_036_deltas,0,Alpha,S,-0.184579002,-0.386200239,0.300963121
171,RS_036_deltas,0,Beta,O,0.041705516,0.059004186,0.093395959
172,RS_036_deltas,0,Beta,S,0.061907586,-0.335610372,-0.048863161
173,RS_036_deltas,0,Gamma,O,0.145203174,-0.136988872,0.096291615
174,RS_036_deltas,0,Gamma,S,0.02415567,-0.373684341,-0.325298889
175,RS_036_deltas,0,Theta,O,0.157797007,-0.155967057,0.0749221
176,RS_036_deltas,0,Theta,S,0.034072809,-0.060640149,0.226173787
177,RS_037_deltas,1,Alpha,O,0.200722934,0.031723029,0.016855659
178,RS_037_deltas,1,Alpha,S,-0.172554018,-0.11246424,1.660962639
179,RS_037_deltas,1,Beta,O,-0.000619608,-0.005249672,0.174431962
180,RS_037_deltas,1,Beta,S,0.018073708,-0.132676427,0.369311199
181,RS_037_deltas,1,Gamma,O,-0.127635627,-0.017777162,0.015673026
182,RS_037_deltas,1,Gamma,S,0.100446487,0.12471908,0.121778564
183,RS_037_deltas,1,Theta,O,0.332958699,0.056443742,0.720499209
184,RS_037_deltas,1,Theta,S,0.334508816,-0.207840323,1.522320234
185,RS_039_deltas,1,Alpha,O,0.581796151,0.193543278,0.002406227
186,RS_039_deltas,1,Alpha,S,0.457188615,0.120890453,0.448910052
187,RS_039_deltas,1,Beta,O,0.290103399,0.056323375,0.892372067
188,RS_039_deltas,1,Beta,S,0.960197871,0.229118367,1.103591858
189,RS_039_deltas,1,Gamma,O,0.321991836,-0.197211334,0.416163015
190,RS_039_deltas,1,Gamma,S,0.856313761,0.282642576,2.408890902
191,RS_039_deltas,1,Theta,O,0.281844637,-0.088717406,0.688170223
192,RS_039_deltas,1,Theta,S,0.819984687,0.095451151,0.421527798
193,RS_040_deltas,1,Alpha,O,0.120418121,0.264997669,0.138137719
194,RS_040_deltas,1,Alpha,S,0.251941364,0.610953623,0.718694977
195,RS_040_deltas,1,Beta,O,-0.239341697,-0.089525922,0.527285116
196,RS_040_deltas,1,Beta,S,-0.356642991,0.177824035,1.521138739
197,RS_040_deltas,1,Gamma,O,-0.251580143,0.093331159,0.593010488
198,RS_040_deltas,1,Gamma,S,-0.219513643,-0.946594469,0.143160428
199,RS_040_deltas,1,Theta,O,0.317056156,0.341008344,0.571291708
200,RS_040_deltas,1,Theta,S,-1.146674676,0.50665609,0.644324886
201,RS_041_deltas,0,Alpha,O,-0.459995666,-0.2959779,-0.107371741
202,RS_041_deltas,0,Alpha,S,-0.208210247,0.659632645,-1.07760153
203,RS_041_deltas,0,Beta,O,-0.341346782,-0.078525167,0.185941061
204,RS_041_deltas,0,Beta,S,0.01352307,-0.061176363,-0.267355278
205,RS_041_deltas,0,Gamma,O,0.322386299,-0.238226538,0.147577653
206,RS_041_deltas,0,Gamma,S,0.881912299,0.399308581,0.583369817
207,RS_041_deltas,0,Theta,O,-0.076382114,0.005249736,-0.029360999
208,RS_041_deltas,0,Theta,S,1.360493224,-0.678112642,0.404125199
209,RS_042_deltas,0,Alpha,O,-0.797796812,-0.15542645,-0.327099051
210,RS_042_deltas,0,Alpha,S,-0.228090802,-0.062236477,-0.185394455
211,RS_042_deltas,0,Beta,O,-0.368753964,-0.14587459,-0.166676749
212,RS_042_deltas,0,Beta,S,-0.56596862,0.398968634,-0.34784087
213,RS_042_deltas,0,Gamma,O,0.118277374,0.07987756,0.045774886
214,RS_042_deltas,0,Gamma,S,0.040457635,1.407806071,-1.548142347
215,RS_042_deltas,0,Theta,O,-0.20690323,-0.139897285,0.093270452
216,RS_042_deltas,0,Theta,S,-0.169303356,0.169325948,-0.519871288
217,RS_043_deltas,1,Alpha,O,-0.235575946,0.280627477,0.056021606
218,RS_043_deltas,1,Alpha,S,-0.472526669,-0.006282036,0.300963121
219,RS_043_deltas,1,Beta,O,-0.446647117,0.136852633,0.093395959
220,RS_043_deltas,1,Beta,S,-0.424903569,-0.123293214,-0.048863161
221,RS_043_deltas,1,Gamma,O,0.03522458,0.105409042,0.096291615
222,RS_043_deltas,1,Gamma,S,-0.133525136,2.470265369,-0.325298889
223,RS_043_deltas,1,Theta,O,-0.370542567,0.033125817,0.0749221
224,RS_043_deltas,1,Theta,S,-1.076550055,-0.67588436,0.226173787
225,RS_044_deltas,1,Alpha,O,0.898862293,0.021647611,0.014458113
226,RS_044_deltas,1,Alpha,S,0.122827788,0.297748589,0.631265675
227,RS_044_deltas,1,Beta,O,0.485250378,0.274647332,0.077993691
228,RS_044_deltas,1,Beta,S,1.434672594,0.558160344,-0.863203213
229,RS_044_deltas,1,Gamma,O,0.823766884,0.7922619,0.482148296
230,RS_044_deltas,1,Gamma,S,1.963797138,1.901766202,-2.069567778
231,RS_044_deltas,1,Theta,O,0.083525487,-0.121691771,-0.206193485
232,RS_044_deltas,1,Theta,S,1.461509586,-0.617658283,0.577034308
233,RS_046_deltas,1,Alpha,O,0.09708715,-0.132011812,0.056021606
234,RS_046_deltas,1,Alpha,S,-0.151217956,-0.791545596,0.300963121
235,RS_046_deltas,1,Beta,O,0.111481508,-0.141929023,0.093395959
236,RS_046_deltas,1,Beta,S,0.004073828,-0.564488363,-0.048863161
237,RS_046_deltas,1,Gamma,O,0.105746038,-0.265871855,0.096291615
238,RS_046_deltas,1,Gamma,S,0.325431425,0.100051498,-0.325298889
239,RS_046_deltas,1,Theta,O,0.171957093,0.070250959,0.0749221
240,RS_046_deltas,1,Theta,S,0.207033234,-0.472823823,0.226173787