,Max_Index,Max_Value
Theta_o_7DAYMADRS_corr,13967,0.940582853
Gamma_o_7DAYMADRS_corr,3742,0.921780971
Theta_s_7DAYMADRS_corr,858,0.881122606
Beta_o_7DAYMADRS_corr,6096,0.842839112
Alpha_o_24HMADRS_corr,2523,0.837753059
Theta_o_24HMADRS_corr,111,0.837278158
Beta_o_24HMADRS_corr,2554,0.833255371
Gamma_s_7DAYMADRS_corr,346,0.806884471
Alpha_o_7DAYMADRS_corr,3581,0.803838538
Alpha_s_7DAYMADRS_corr,372,0.794229408
Beta_s_7DAYMADRS_corr,346,0.761441004
Gamma_o_24HMADRS_corr,2823,0.733812426
Beta_s_24HMADRS_corr,372,0.728917588
Gamma_s_24HMADRS_corr,455,0.690333946
Alpha_s_24HMADRS_corr,911,0.662149225
Theta_s_24HMADRS_corr,860,0.652749081